co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,1,摩星嶺,Felix Villas,跑馬地 (上),Happy Valley (Upper),摩星岭,跑马地 (上),2020-05-22T05:00:02+08:00
CTB,10,堅尼地城,Kennedy Town,北角碼頭,North Point Ferry Pier,坚尼地城,北角码头,2020-05-22T05:00:02+08:00
CTB,102,筲箕灣,Shau Kei Wan,美孚,Mei Foo,筲箕湾,美孚,2020-05-22T05:00:02+08:00
CTB,102P,筲箕灣,Shau Kei Wan,美孚,Mei Foo,筲箕湾,美孚,2020-05-22T05:00:02+08:00
CTB,103,蒲飛路,Pokfield Road,竹園,Chuk Yuen,蒲飞路,竹园,2020-05-22T05:00:02+08:00
CTB,103P,蒲飛路,Pokfield Road,旺角 (麥花臣遊樂場),Mong Kok (Macpherson Playground),蒲飞路,旺角 (麦花臣游乐场),2020-05-22T05:00:02+08:00
CTB,107,華貴邨,Wah Kwai Estate,九龍灣,Kowloon Bay,华贵邨,九龙湾,2020-05-22T05:00:02+08:00
CTB,107P,紅磡 (海逸豪園),Hung Hom (Laguna Verde),數碼港,Cyberport,红磡 (海逸豪园),数码港,2020-05-22T05:00:02+08:00
CTB,11,中環碼頭,Central (Ferry Piers),渣甸山,Jardine's Lookout,中环码头,渣甸山,2020-05-22T05:00:02+08:00
CTB,117,跑馬地 (下),Happy Valley (Lower),深水埗 (欽州街),Sham Shui Po (Yen Chow Street),跑马地 (下),深水埗 (钦州街),2020-05-22T05:00:02+08:00
CTB,117R,香港大球場,Hong Kong Stadium,旺角 (經尖沙咀),Mong Kok (via Tsim Sha Tsui),香港大球场,旺角 (经尖沙咀),2020-05-22T05:00:02+08:00
CTB,118,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),長沙灣 (深旺道),Cheung Sha Wan (Sham Mong Road),小西湾 (蓝湾半岛),长沙湾 (深旺道),2020-05-22T05:00:02+08:00
CTB,118P,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),長沙灣 (深旺道),Cheung Sha Wan (Sham Mong Road),小西湾 (蓝湾半岛),长沙湾 (深旺道),2020-05-22T05:00:02+08:00
CTB,12,中環碼頭,Central (Ferry Piers),羅便臣道,Robinson Road,中环码头,罗便臣道,2020-05-22T05:00:02+08:00
CTB,12A,金鐘 (添馬街),Admiralty (Tamar Street),麥當勞道,MacDonnell Road,金钟 (添马街),麦当劳道,2020-05-22T05:00:02+08:00
CTB,12M,金鐘 (添馬街),Admiralty (Tamar Street),柏道,Park Road,金钟 (添马街),柏道,2020-05-22T05:00:02+08:00
CTB,170,華富 (中),Wah Fu (Central),沙田站,Sha Tin Station,华富 (中),沙田站,2020-05-22T05:00:02+08:00
CTB,171,海怡半島,South Horizons,荔枝角,Lai Chi Kok,海怡半岛,荔枝角,2020-05-22T05:00:02+08:00
CTB,171A,利東邨,Lei Tung Estate,荔枝角,Lai Chi Kok,利东邨,荔枝角,2020-05-22T05:00:02+08:00
CTB,171P,海怡半島,South Horizons,荔枝角,Lai Chi Kok,海怡半岛,荔枝角,2020-05-22T05:00:02+08:00
CTB,182,中環 (港澳碼頭),Central (Macau Ferry),沙田 (愉翠苑),Sha Tin (Yu Chui Court),中环 (港澳码头),沙田 (愉翠苑),2020-05-22T05:00:02+08:00
CTB,182X,中環 (港澳碼頭),Central (Macau Ferry),沙田 (愉翠苑),Sha Tin (Yu Chui Court),中环 (港澳码头),沙田 (愉翠苑),2020-05-22T05:00:02+08:00
CTB,19,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),跑馬地 (上),Happy Valley (Upper),小西湾 (蓝湾半岛),跑马地 (上),2020-05-22T05:00:02+08:00
CTB,19P,筲箕灣,Shau Kei Wan,跑馬地 (上),Happy Valley (Upper),筲箕湾,跑马地 (上),2020-05-22T05:00:02+08:00
CTB,1P,黃泥涌道 (樂活道),Wong Nai Chung Road (Broadwood Road),中環,Central,黄泥涌道 (乐活道),中环,2020-05-22T05:00:02+08:00
