routeId,routeName_zh,provider,routeName_zh-hk,paths,etaProviders,type,routeName_zh-cn,routeName_en,routeName
1001,1,hktransit,1,"[['4001', '4002', '4003', '4004', '4005', '4006', '8090', '4008', '4009', '4010', '4011', '4012', '4013', '4014', '4015', '4016', '7036', '4018', '4020', '4021', '4022', '7041', '4024', '7006', '4025'], ['4025', '965', '4076', '4027', '9009', '193', '9053', '751', '4032', '4033', '4034', '4035', '4077', '4055', '4037', '4038', '4039', '4040', '8091', '8089', '12364', '4043', '1012', '793', '4001']]",['KMB'],bus,1,1,1
1002,10,hktransit,10,"[['1074', '1075', '1142', '8337', '1415', '1147', '7025', '10244', '8088', '4006', '8090', '4008', '9131', '9146', '9135', '4225', '4226', '4227', '4228', '4229', '4230', '13129', '10237', '9040', '9049', '9089', '9081', '12367', '7050', '783', '9121', '9144', '9142', '9147', '8098', '8099', '8094', '13070', '8085', '4186', '1387', '1167', '995', '12918', '8323', '1091', '1073', '1074']]",['KMB'],bus,10,10,10
1006,102P,hktransit,102P,"[['550', '747', '12458', '101', '102', '173', '748', '104', '105', '749', '108', '110', '111', '112', '9015', '9011', '970', '9052', '9054', '10225', '9218', '756', '9228', '758', '760', '739'], ['739', '956', '740', '9225', '9226', '743', '9217', '9219', '211', '212', '7036', '744', '745', '9012', '775', '9014', '3274', '146', '147', '148', '180', '151', '152', '3001', '12470', '550']]","['KMB', 'CTB']",bus,102P,102P,102P
1008,103,hktransit,103,"[['4001', '4002', '4003', '1373', '4218', '4221', '4223', '768', '4224', '770', '4227', '4228', '773', '774', '775', '9014', '3021', '15', '16', '1268', '776', '3173', '616', '244', '245', '246', '247', '248', '249', '265', '266', '380', '381', '328', '329', '330'], ['330', '349', '3116', '377', '378', '673', '471', '472', '473', '474', '674', '777', '256', '8051', '131', '8053', '133', '3131', '276', '277', '137', '297', '658', '9015', '779', '780', '781', '782', '783', '4238', '785', '786', '787', '788', '4244', '790', '4218', '1012', '793', '4001']]","['KMB', 'CTB']",bus,103,103,103
1009,103P,hktransit,103P,"[['330', '349', '3116', '377', '378', '673', '471', '472', '473', '474', '674', '777', '256', '9015', '9057', '10252']]","['KMB', 'CTB']",bus,103P,103P,103P
1010,106,hktransit,106,"[['7026', '4118', '4161', '8097', '4162', '13143', '4164', '4165', '4166', '9032', '9030', '4169', '1394', '1395', '9022', '9014', '746', '137', '3178', '139', '140', '141', '143', '144', '3263', '146', '147', '148', '149', '151', '152', '3001', '3268', '33', '3002', '35', '36', '3253', '155', '1560', '3246', '40', '1549', '43', '1551', '12983', '1568', '1546'], ['1546', '7125', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '100', '101', '102', '173', '748', '104', '105', '749', '108', '110', '111', '59', '228', '62', '63', '297', '658', '9015', '4260', '9028', '12371', '4179', '4180', '4181', '9034', '4183', '1323', '4185', '820', '8085', '7059', '7060', '7026']]","['KMB', 'NWFB']",bus,106,106,106
1014,108,hktransit,108,"[['826', '798', '8336', '13133', '13104', '13105', '4072', '8097', '4162', '9025', '4122', '806', '807', '808', '9014', '3214', '836', '238', '3216', '12584', '279', '280', '1513', '282', '283', '53', '54', '55', '289', '57'], ['57', '291', '292', '293', '294', '295', '3174', '300', '301', '3262', '3124', '304', '3033', '586', '469', '9015', '4135', '4136', '13082', '817', '9026', '818', '4185', '820', '4081', '822', '13205', '13106', '825', '826']]",['KMB'],bus,108,108,108
1015,109,hktransit,109,"[['12751', '4252', '4253', '4254', '4255', '4256', '4257', '4258', '808', '9014', '8055', '419', '420', '1475', '422', '734', '778', '8001', '125'], ['125', '127', '27', '128', '425', '426', '427', '617', '429', '813', '9015', '9058', '4263', '4264', '4265', '12565', '10320', '4268', '12751']]","['KMB', 'NWFB']",bus,109,109,109
1016,11,hktransit,11,"[['1146', '1147', '7025', '7026', '4118', '4119', '9025', '4121', '4123', '4124', '808', '7082', '1331', '1164', '13172', '4246'], ['4246', '4248', '1321', '1322', '4135', '4136', '13082', '4150', '4139', '4185', '820', '8085', '7059', '7060', '13386', '7026', '1387', '1167', '1146']]",['KMB'],bus,11,11,11
1017,110,hktransit,110,"[['550', '101', '551', '552', '553', '554', '555', '556', '557', '1515', '7130', '111', '112', '9015', '7082', '4272', '1164', '10269', '9000', '1278', '1279', '12746', '4132', '9007', '9014', '220', '221', '222', '223', '672', '1305', '1306', '7130', '912', '10230', '174', '176', '562', '563', '564', '565', '3085', '12392', '567', '568', '550']]","['KMB', 'NWFB']",bus,110,110,110
1019,112,hktransit,112,"[['7135', '111', '59', '228', '62', '63', '64', '586', '469', '9015', '9011', '970', '9052', '9054', '752', '9077', '9218', '756', '4111', '205', '4113', '4114', '4097'], ['4097', '4098', '4099', '206', '207', '9217', '9219', '211', '212', '7036', '744', '745', '9012', '775', '9014', '8058', '136', '137', '3178', '139', '140', '141', '143', '7135']]","['KMB', 'NWFB']",bus,112,112,112
1021,115,hktransit,115,"[['9035', '4166', '9032', '9030', '4169', '1394', '1395', '7015', '1379', '12887', '7001', '4176', '219', '7136', '18', '19', '21', '23', '163', '125'], ['125', '127', '8002', '128', '8051', '131', '8053', '867', '235', '8057', '9015', '9021', '9023', '1380', '1381', '1382', '1383', '4179', '4180', '4181', '9035']]","['KMB', 'NWFB']",bus,115,115,115
1022,115P,hktransit,115P,"[['7016', '1379', '12887', '7001', '4176', '219', '7136', '18', '19', '21', '23', '163', '125']]","['KMB', 'NWFB']",bus,115P,115P,115P
1023,116,hktransit,116,"[['1406', '4152', '1411', '4154', '10231', '1413', '1414', '8339', '4118', '4161', '8097', '9025', '4122', '806', '807', '808', '9014', '8058', '136', '137', '3178', '139', '140', '141', '143', '144', '3263', '13083', '147', '7132', '7131'], ['7131', '749', '108', '110', '111', '59', '228', '62', '63', '64', '586', '469', '9015', '4135', '4136', '13082', '12919', '9026', '4185', '820', '1385', '4186', '1387', '1148', '1403', '1404', '10232', '4190', '4191', '4192', '4152', '1406']]","['KMB', 'NWFB']",bus,116,116,116
1024,117,hktransit,117,"[['203', '9228', '9221', '829', '830', '4103', '4104', '4105', '9071', '4048', '744', '745', '9012', '775', '9014', '658', '836', '837', '66', '3036', '67'], ['67', '573', '68', '69', '813', '9015', '9011', '970', '4053', '9054', '9076', '197', '838', '4109', '199', '9212', '9095', '9093', '203']]","['KMB', 'CTB']",bus,117,117,117
1027,11B,hktransit,11B,"[['8230', '8228', '1165', '8203', '8222', '1137', '8218', '1138', '4067', '13228', '8322', '801', '12355', '4072', '4119', '4162', '4163', '4164', '4165', '9035'], ['9035', '9034', '4183', '818', '4185', '820', '4081', '822', '823', '1150', '8318', '1151', '1152', '4088', '4089', '8227', '8229', '8230']]",['KMB'],bus,11B,11B,11B
1028,11C,hktransit,11C,"[['4001', '4002', '4003', '1355', '1356', '1167', '995', '4144', '1150', '8318', '1151', '1152', '4088', '4089', '8227', '8229', '8231', '8244', '7074', '8251', '7067', '7068', '1020', '1021', '12916'], ['12916', '1034', '1035', '12914', '7100', '1112', '7093', '4061', '8232', '8228', '1165', '1359', '8203', '8222', '1137', '707', '1138', '4067', '13228', '8322', '1142', '8337', '1415', '1147', '1040', '8341', '1042', '10258', '1012', '793', '4001']]",['KMB'],bus,11C,11C,11C
1029,11D,hktransit,11D,"[['4218', '9134', '9132', '4009', '8101', '820', '4081', '822', '823', '4084', '8317', '1151', '1152', '4088', '4089', '10260', '13387', '8207'], ['8207', '8204', '8203', '706', '8222', '1137', '707', '1138', '4067', '1140', '8322', '801', '12355', '4072', '8097', '4074', '9129', '9130', '9133', '4220', '4218']]",['KMB'],bus,11D,11D,11D
