addr_en,lng,stopName_zh-cn,stopId,addr_zh,type,stopName_zh-hk,stopName_zh,addr_zh-cn,provider,stopName_en,addr_zh-hk,addr,stopName,lat
YING TUNG HOUSE,114.19103685169186,盈东楼,8090,盈東樓,bus,盈東樓,盈東樓,盈东楼,hktransit,YING TUNG HOUSE,盈東樓,YING TUNG HOUSE,YING TUNG HOUSE,22.33404708581095
KOWLOON WALLED CITY PARK,114.18814403122202,九龙寨城公园,4008,九龍寨城公園,bus,九龍寨城公園,九龍寨城公園,九龙寨城公园,hktransit,KOWLOON WALLED CITY PARK,九龍寨城公園,KOWLOON WALLED CITY PARK,KOWLOON WALLED CITY PARK,22.332313442382826
CARPENTER ROAD,114.18711495356072,贾炳达道,4009,賈炳達道,bus,賈炳達道,賈炳達道,贾炳达道,hktransit,CARPENTER ROAD,賈炳達道,CARPENTER ROAD,CARPENTER ROAD,22.33026356901523
MORSE PARK OPEN-AIR THEATRE,114.19155154920443,摩士露天剧场,8089,摩士露天劇場,bus,摩士露天劇場,摩士露天劇場,摩士露天剧场,hktransit,MORSE PARK OPEN-AIR THEATRE,摩士露天劇場,MORSE PARK OPEN-AIR THEATRE,MORSE PARK OPEN-AIR THEATRE,22.336214378319916
HONG KEUNG COURT,114.19003735992884,康强苑,12364,康強苑,bus,康強苑,康強苑,康强苑,hktransit,HONG KEUNG COURT,康強苑,HONG KEUNG COURT,HONG KEUNG COURT,22.33752394216039
WANG YIP HOUSE,114.18927072405798,宏业楼,4043,宏業樓,bus,宏業樓,宏業樓,宏业楼,hktransit,WANG YIP HOUSE,宏業樓,WANG YIP HOUSE,WANG YIP HOUSE,22.340169960648108
TIN WANG COURT,114.18762080280212,天宏苑,1012,天宏苑,bus,天宏苑,天宏苑,天宏苑,hktransit,TIN WANG COURT,天宏苑,TIN WANG COURT,TIN WANG COURT,22.344558935400343
RAINBOW PRIMARY SCHOOL,114.19042639570263,天虹小学,793,天虹小學,bus,天虹小學,天虹小學,天虹小学,hktransit,RAINBOW PRIMARY SCHOOL,天虹小學,RAINBOW PRIMARY SCHOOL,RAINBOW PRIMARY SCHOOL,22.345226986145857
CHUK YUEN ESTATE BUS TERMINUS,114.19244562300135,竹园邨总站,4001,竹園邨總站,bus,竹園邨總站,竹園邨總站,竹园邨总站,hktransit,CHUK YUEN ESTATE BUS TERMINUS,竹園邨總站,CHUK YUEN ESTATE BUS TERMINUS,CHUK YUEN ESTATE BUS TERMINUS,22.34535323202937
PRINCE EDWARD ROAD WEST,114.18702742833517,太子道西,4010,太子道西,bus,太子道西,太子道西,太子道西,hktransit,PRINCE EDWARD ROAD WEST,太子道西,PRINCE EDWARD ROAD WEST,PRINCE EDWARD ROAD WEST,22.32799689806142
