co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
NWFB,101,堅尼地城,Kennedy Town,觀塘 (裕民坊),Kwun Tong (Yue Man Square),坚尼地城,观塘 (裕民坊),2020-05-22T05:00:02+08:00
NWFB,101R,跑馬地馬場,Happy Valley Racecourse,觀塘 (裕民坊),Kwun Tong (Yue Man Square),跑马地马场,观塘 (裕民坊),2020-05-22T05:00:02+08:00
NWFB,101X,堅尼地城,Kennedy Town,觀塘 (裕民坊),Kwun Tong (Yue Man Square),坚尼地城,观塘 (裕民坊),2020-05-22T05:00:02+08:00
NWFB,102R,跑馬地馬場,Happy Valley Racecourse,美孚,Mei Foo,跑马地马场,美孚,2020-05-22T05:00:02+08:00
NWFB,104,堅尼地城／中環／金鐘,Kennedy Town / Central / Admiralty,白田邨,Pak Tin Estate,坚尼地城／中环／金钟,白田邨,2020-05-22T05:00:02+08:00
NWFB,104R,中環碼頭,Central (Ferry Piers),旺角,Mong Kok,中环码头,旺角,2020-05-22T05:00:02+08:00
NWFB,105R,灣仔 (會展新翼),Wan Chai (HKCEC Extension),美孚,Mei Foo,湾仔 (会展新翼),美孚,2020-05-22T05:00:02+08:00
NWFB,106,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),黃大仙,Wong Tai Sin,小西湾 (蓝湾半岛),黄大仙,2020-05-22T05:00:02+08:00
NWFB,106A,黃大仙,Wong Tai Sin,太古 (康怡廣場),Taikoo (Kornhill Plaza),黄大仙,太古 (康怡广场),2020-05-22T05:00:02+08:00
NWFB,106P,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),黃大仙,Wong Tai Sin,小西湾 (蓝湾半岛),黄大仙,2020-05-22T05:00:02+08:00
NWFB,109,中環 (港澳碼頭),Central (Macau Ferry),何文田邨,Ho Man Tin Estate,中环 (港澳码头),何文田邨,2020-05-22T05:00:02+08:00
NWFB,110,筲箕灣,Shau Kei Wan,尖沙咀 (麼地道),Tsim Sha Tsui (Mody Road),筲箕湾,尖沙咀 (么地道),2020-05-22T05:00:02+08:00
NWFB,111,中環 (港澳碼頭),Central (Macau Ferry),坪石邨,Ping Shek Estate,中环 (港澳码头),坪石邨,2020-05-22T05:00:02+08:00
NWFB,111P,彩福邨,Choi Fook Estate,中環 (港澳碼頭),Central (Macau Ferry),彩福邨,中环 (港澳码头),2020-05-22T05:00:02+08:00
NWFB,111R,灣仔 (會展新翼),Wan Chai (HKCEC Extension),觀塘 (裕民坊),Kwun Tong (Yue Man Square),湾仔 (会展新翼),观塘 (裕民坊),2020-05-22T05:00:02+08:00
NWFB,112,北角 (百福道),North Point (Pak Fuk Road),蘇屋邨,So Uk Estate,北角 (百福道),苏屋邨,2020-05-22T05:00:02+08:00
NWFB,113,堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),彩虹,Choi Hung,坚尼地城 (卑路乍湾),彩虹,2020-05-22T05:00:02+08:00
NWFB,115,中環 (港澳碼頭),Central (Macau Ferry),九龍城碼頭,Kowloon City Ferry Pier,中环 (港澳码头),九龙城码头,2020-05-22T05:00:02+08:00
NWFB,115P,海逸豪園,Laguna Verde,中環 (港澳碼頭),Central (Macau Ferry),海逸豪园,中环 (港澳码头),2020-05-22T05:00:02+08:00
NWFB,116,鰂魚涌 (祐民街),Quarry Bay (Yau Man Street),慈雲山 (中),Tsz Wan Shan (Central),鲗鱼涌 (祐民街),慈云山 (中),2020-05-22T05:00:02+08:00
NWFB,13,中環 (大會堂),Central (City Hall),旭龢道 (半山區),Kotewall Road (Mid-levels),中环 (大会堂),旭龢道 (半山区),2020-05-22T05:00:02+08:00
NWFB,14,嘉亨灣,Grand Promenade,赤柱炮台 (閘口)／馬坑,Stanley Fort (Gate) / Ma Hang,嘉亨湾,赤柱炮台 (闸口)／马坑,2020-05-22T05:00:02+08:00
NWFB,15,中環,Central,山頂,The Peak,中环,山顶,2020-05-22T05:00:02+08:00
NWFB,15B,灣仔 (會展新翼),Wan Chai (HKCEC Extension),山頂,The Peak,湾仔 (会展新翼),山顶,2020-05-22T05:00:02+08:00
NWFB,15C,中環 (天星碼頭),Central (Star Ferry),花園道 (山頂纜車總站),Garden Road (Lower Peak Tram Station),中环 (天星码头),花园道 (山顶缆车总站),2020-05-22T05:00:02+08:00
NWFB,15R,海洋公園,Ocean Park,山頂,The Peak,海洋公园,山顶,2020-05-22T05:00:02+08:00
NWFB,15X,天后,Tin Hau,山頂,The Peak,天后,山顶,2020-05-22T05:00:02+08:00
NWFB,18,北角 (健康中街),North Point (Healthy Street Central),中環 (港澳碼頭)／上環,Central (Macau Ferry) / Sheung Wan,北角 (健康中街),中环 (港澳码头)／上环,2020-05-22T05:00:02+08:00
NWFB,18P,堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),北角 (健康中街),North Point (Healthy Street Central),坚尼地城 (卑路乍湾),北角 (健康中街),2020-05-22T05:00:02+08:00
NWFB,18X,筲箕灣,Shau Kei Wan,堅尼地城 (卑路乍灣),Kennedy Town (Belcher Bay),筲箕湾,坚尼地城 (卑路乍湾),2020-05-22T05:00:02+08:00
NWFB,2,嘉亨灣,Grand Promenade,中環 (港澳碼頭),Central (Macau Ferry),嘉亨湾,中环 (港澳码头),2020-05-22T05:00:02+08:00
NWFB,23,北角碼頭,North Point Ferry Pier,蒲飛路,Pokfield Road,北角码头,蒲飞路,2020-05-22T05:00:02+08:00
NWFB,23B,寶馬山,Braemar Hill,柏道／羅便臣道,Park Road / Robinson Road,宝马山,柏道／罗便臣道,2020-05-22T05:00:02+08:00
NWFB,25,中環 (5 號碼頭),Central (Pier 5),寶馬山,Braemar Hill,中环 (5 号码头),宝马山,2020-05-22T05:00:02+08:00
NWFB,26,勵德邨,Lai Tak Tsuen,荷李活道,Hollywood Road,励德邨,荷李活道,2020-05-22T05:00:02+08:00
NWFB,27,北角碼頭,North Point Ferry Pier,寶馬山,Braemar Hill,北角码头,宝马山,2020-05-22T05:00:02+08:00
NWFB,2A,耀東邨,Yiu Tung Estate,灣仔北,Wan Chai North,耀东邨,湾仔北,2020-05-22T05:00:02+08:00
NWFB,2X,筲箕灣／愛秩序灣,Shau Kei Wan / Aldrich Bay,灣仔北,Wan Chai North,筲箕湾／爱秩序湾,湾仔北,2020-05-22T05:00:02+08:00
NWFB,301,紅磡 (海底隧道收費廣場),Hung Hom (Cross Harbour Tunnel Toll Plaza),上環,Sheung Wan,红磡 (海底隧道收费广场),上环,2020-05-22T05:00:02+08:00
NWFB,302,慈雲山 (北),Tsz Wan Shan (North),上環,Sheung Wan,慈云山 (北),上环,2020-05-22T05:00:02+08:00
NWFB,302A,慈雲山 (北),Tsz Wan Shan (North),北角 (健康村),North Point (Healthy Village),慈云山 (北),北角 (健康村),2020-05-22T05:00:02+08:00
NWFB,30X,數碼港,Cyberport,中環 (交易廣場),Central (Exchange Square),数码港,中环 (交易广场),2020-05-22T05:00:02+08:00
NWFB,33X,數碼港,Cyberport,西灣河,Sai Wan Ho,数码港,西湾河,2020-05-22T05:00:02+08:00
NWFB,38,置富花園,Chi Fu Fa Yuen,北角碼頭,North Point Ferry Pier,置富花园,北角码头,2020-05-22T05:00:02+08:00
NWFB,388,柴灣站,Chai Wan Station,柴灣墳場／歌連臣角,Chai Wan Cemeteries / Cape Collinson,柴湾站,柴湾坟场／歌连臣角,2020-05-22T05:00:02+08:00
NWFB,389,筲箕灣,Shau Kei Wan,柴灣墳場／歌連臣角,Chai Wan Cemeteries / Cape Collinson,筲箕湾,柴湾坟场／歌连臣角,2020-05-22T05:00:02+08:00
NWFB,38S,置富花園,Chi Fu Fa Yuen,銅鑼灣 (中央圖書館),Causeway Bay (Central Library),置富花园,铜锣湾 (中央图书馆),2020-05-22T05:00:02+08:00
NWFB,3A,中環 (天星碼頭),Central (Star Ferry),摩星嶺,Felix Villas,中环 (天星码头),摩星岭,2020-05-22T05:00:02+08:00
NWFB,4,華富 (南),Wah Fu (South),中環,Central,华富 (南),中环,2020-05-22T05:00:02+08:00
NWFB,42,華富 (南),Wah Fu (South),北角碼頭,North Point Ferry Pier,华富 (南),北角码头,2020-05-22T05:00:02+08:00
NWFB,42C,數碼港,Cyberport,北角碼頭,North Point Ferry Pier,数码港,北角码头,2020-05-22T05:00:02+08:00
NWFB,4X,華富 (南),Wah Fu (South),中環 (交易廣場),Central (Exchange Square),华富 (南),中环 (交易广场),2020-05-22T05:00:02+08:00
NWFB,590,海怡半島,South Horizons,中環 (交易廣場),Central (Exchange Square),海怡半岛,中环 (交易广场),2020-05-22T05:00:02+08:00
NWFB,595,海怡半島,South Horizons,香港仔,Aberdeen,海怡半岛,香港仔,2020-05-22T05:00:02+08:00
NWFB,601,金鐘 (東),Admiralty (East),寶達邨,Po Tat Estate,金钟 (东),宝达邨,2020-05-22T05:00:02+08:00
NWFB,601P,寶達邨,Po Tat Estate,上環,Sheung Wan,宝达邨,上环,2020-05-22T05:00:02+08:00
NWFB,63,北角碼頭,North Point Ferry Pier,赤柱市場,Stanley Market,北角码头,赤柱市场,2020-05-22T05:00:02+08:00
NWFB,641,中環 (港澳碼頭),Central (Macau Ferry),啟德 (啟晴邨),Kai Tak (Kai Ching Estate),中环 (港澳码头),启德 (启晴邨),2020-05-22T05:00:02+08:00
NWFB,65,北角碼頭,North Point Ferry Pier,赤柱市集,Stanley Market,北角码头,赤柱市集,2020-05-22T05:00:02+08:00
NWFB,66,中環 (交易廣場),Central (Exchange Square),赤柱廣場 (馬坑),Stanley Plaza (Ma Hang),中环 (交易广场),赤柱广场 (马坑),2020-05-22T05:00:02+08:00
NWFB,680,金鐘 (東),Admiralty (East),馬鞍山 (利安邨),Ma On Shan (Lee On Estate),金钟 (东),马鞍山 (利安邨),2020-05-22T05:00:02+08:00
NWFB,680A,馬鞍山 (利安邨),Ma On Shan (Lee On Estate),金鐘 (東),Admiralty (East),马鞍山 (利安邨),金钟 (东),2020-05-22T05:00:02+08:00
NWFB,680B,馬鞍山 (富安花園),Ma On Shan (Chevalier Garden),金鐘 (東),Admiralty (East),马鞍山 (富安花园),金钟 (东),2020-05-22T05:00:02+08:00
NWFB,680P,馬鞍山 (烏溪沙站),Ma On Shan (Wu Kai Sha Station),金鐘 (東),Admiralty (East),马鞍山 (乌溪沙站),金钟 (东),2020-05-22T05:00:02+08:00
NWFB,680X,中環 (港澳碼頭),Central (Macau Ferry Pier),馬鞍山 (烏溪沙站),Ma On Shan (Wu Kai Sha Station),中环 (港澳码头),马鞍山 (乌溪沙站),2020-05-22T05:00:02+08:00
NWFB,682,柴灣 (東),Chai Wan (East),馬鞍山 (烏溪沙站),Ma On Shan (Wu Kai Sha Station),柴湾 (东),马鞍山 (乌溪沙站),2020-05-22T05:00:02+08:00
NWFB,682A,馬鞍山市中心,Ma On Shan Town Centre,柴灣 (東),Chai Wan (East),马鞍山市中心,柴湾 (东),2020-05-22T05:00:02+08:00
NWFB,682B,水泉澳邨,Shui Chuen O Estate,柴灣 (東),Chai Wan (East),水泉澳邨,柴湾 (东),2020-05-22T05:00:02+08:00
NWFB,682C,沙田第一城,City One Shatin,北角,North Point,沙田第一城,北角,2020-05-22T05:00:02+08:00
NWFB,682D,碩門邨,Shek Mun Estate,柴灣 (東),Chai Wan (East),硕门邨,柴湾 (东),2020-05-22T05:00:02+08:00
NWFB,682P,泥涌／烏溪沙站／利安邨,Nai Chung / Wu Kai Sha Station / Lee On Estate,柴灣 (東),Chai Wan (East),泥涌／乌溪沙站／利安邨,柴湾 (东),2020-05-22T05:00:02+08:00
NWFB,682X,泥涌,Nai Chung,柴灣 (東),Chai Wan (East),泥涌,柴湾 (东),2020-05-22T05:00:02+08:00
NWFB,694,小西灣邨,Siu Sai Wan Estate,調景嶺站,Tiu Keng Leng Station,小西湾邨,调景岭站,2020-05-22T05:00:02+08:00
NWFB,701,海麗邨／南昌站,Hoi Lai Estate / Nam Cheong Station,旺角,Mong Kok,海丽邨／南昌站,旺角,2020-05-22T05:00:02+08:00
NWFB,701A,海盈邨,Hoi Ying Estate,旺角,Mong Kok,海盈邨,旺角,2020-05-22T05:00:02+08:00
NWFB,701R,香港體育館,Hong Kong Coliseum,蘇屋,So Uk,香港体育馆,苏屋,2020-05-22T05:00:02+08:00
NWFB,701S,海麗邨／南昌站,Hoi Lai Estate / Nam Cheong Station,旺角,Mong Kok,海丽邨／南昌站,旺角,2020-05-22T05:00:02+08:00
NWFB,702,海麗邨／南昌站,Hoi Lai Estate / Nam Cheong Station,九龍塘 (又一城),Kowloon Tong (Festival Walk),海丽邨／南昌站,九龙塘 (又一城),2020-05-22T05:00:02+08:00
NWFB,702A,海麗邨,Hoi Lai Estate,白田邨,Pak Tin Estate,海丽邨,白田邨,2020-05-22T05:00:02+08:00
NWFB,702S,蘇屋邨,So Uk Estate,長沙灣 (深盛路)／富昌邨,Cheung Sha Wan (Sham Shing Road) / Fu Cheong Estate,苏屋邨,长沙湾 (深盛路)／富昌邨,2020-05-22T05:00:02+08:00
NWFB,720,嘉亨灣,Grand Promenade,中環 (港澳碼頭 / 機利文街),Central (Macau Ferry / Gilman Street),嘉亨湾,中环 (港澳码头 / 机利文街),2020-05-22T05:00:02+08:00
