STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
2,1,843622,813951,04/19/2012,
3,1,843333,814109,04/19/2012,
4,1,842947,814013,04/19/2012,
5,1,842646,813814,04/19/2012,
6,1,842419,813736,04/19/2012,
7,1,842307,813674,04/19/2012,
8,1,842182,813741,04/19/2012,
9,1,842149,813996,04/19/2012,
10,1,842092,814350,04/19/2012,
11,1,842111,814519,04/19/2012,
12,1,842016,814846,04/19/2012,
13,1,841835,815086,04/19/2012,
15,1,836740,815798,04/19/2012,
16,1,836554,815722,04/19/2012,
17,1,831457,840927,04/19/2012,
18,1,836068,815612,04/19/2012,
19,1,835644,815588,04/19/2012,
20,1,831231,841090,04/19/2012,
21,1,834543,815898,04/19/2012,
22,1,834350,815826,04/19/2012,
23,1,834245,816087,04/19/2012,
24,1,834052,816222,04/19/2012,
26,1,834105,816179,04/19/2012,
27,1,834210,816042,04/19/2012,
28,1,834453,815978,04/19/2012,
30,1,835508,815645,04/19/2012,
31,1,835876,815624,04/19/2012,
32,1,836098,815888,04/19/2012,
33,1,841864,815086,04/19/2012,
35,1,842091,814705,04/19/2012,
36,1,842120,814412,04/19/2012,
40,1,842454,813774,04/19/2012,
42,1,842822,813944,04/19/2012,
43,1,842938,814035,04/19/2012,
46,1,843941,813766,04/19/2012,
48,1,842527,814357,04/19/2012,
49,1,838171,816605,04/19/2012,
50,1,838176,816468,04/19/2012,
51,1,838202,816314,04/19/2012,
53,1,838257,816249,04/19/2012,
54,1,838344,816464,04/19/2012,
55,1,838534,816486,04/19/2012,
56,1,838719,816423,04/19/2012,
57,1,838533,816074,04/05/2013,
58,1,838899,816952,04/19/2012,
59,1,838593,816885,04/19/2012,
60,1,838426,816849,04/19/2012,
61,1,838144,816768,04/19/2012,
62,1,837997,816589,04/19/2012,
63,1,837926,816216,04/19/2012,
64,1,837519,815698,04/19/2012,
66,1,836954,815055,04/19/2012,
67,1,837080,814604,04/19/2012,
68,1,836873,814582,04/19/2012,
69,1,836648,814737,04/19/2012,
74,1,842066,814511,04/19/2012,
75,1,841770,813828,04/19/2012,
79,1,840455,809885,04/19/2012,
80,1,840245,809624,04/19/2012,
82,1,840003,808944,04/19/2012,
84,1,840413,808669,04/19/2012,
87,1,840408,808664,04/19/2012,
89,1,839812,809248,02/21/2014,
90,1,840037,809489,04/19/2012,
91,1,840287,809675,04/19/2012,
93,1,841003,810754,04/19/2012,
94,1,840919,811582,04/19/2012,
95,1,842317,818753,04/19/2012,
96,1,841814,813923,02/20/2014,
97,1,842030,814469,02/20/2014,
99,1,842212,814010,04/19/2012,
100,1,841456,815393,04/19/2012,
101,1,841339,815568,04/19/2012,
102,1,841068,815762,04/19/2012,
103,1,840787,816064,04/19/2012,
104,1,840383,816178,04/19/2012,
105,1,840136,816189,04/19/2012,
106,1,839887,816206,04/19/2012,
107,1,839714,816435,03/05/2014,
108,1,839610,816779,04/19/2012,
109,1,839464,816950,04/19/2012,
110,1,839316,816998,04/19/2012,
111,1,839052,816988,04/19/2012,
112,1,838777,816927,04/19/2012,
113,1,836954,815681,04/19/2012,
116,1,836443,815498,04/19/2012,
118,1,836177,815437,04/19/2012,
119,1,835979,815415,04/19/2012,
120,1,835770,815394,04/19/2012,
121,1,835689,815400,04/19/2012,
122,1,835059,815465,04/19/2012,
124,1,833936,816300,04/19/2012,
125,1,833502,816629,04/19/2012,
127,1,833903,816342,04/19/2012,
128,1,834512,815761,04/19/2012,
129,1,834606,815696,04/19/2012,
130,1,835006,815514,04/19/2012,
131,1,835515,815439,05/08/2015,
132,1,835952,815436,04/19/2012,
133,1,836202,815464,04/19/2012,
134,1,836298,815477,04/19/2012,
135,1,836643,815593,04/19/2012,
136,1,837048,815708,04/19/2012,
137,1,837583,815779,04/19/2012,
139,1,837920,816521,04/19/2012,
140,1,838144,816797,04/19/2012,
141,1,838430,816875,04/19/2012,
142,1,838780,816951,04/19/2012,
143,1,838903,816977,04/19/2012,
144,1,839307,817023,04/19/2012,
146,1,839665,816681,04/19/2012,
147,1,839820,816304,04/19/2012,
148,1,840107,816212,04/19/2012,
149,1,840309,816209,04/19/2012,
151,1,840885,815970,04/19/2012,
152,1,841084,815772,04/19/2012,
155,1,842217,813970,04/19/2012,
156,1,842460,814004,04/19/2012,
157,1,843166,814251,04/19/2012,
159,1,843713,813827,04/19/2012,
161,1,843014,814319,04/19/2012,
163,1,833926,816392,04/19/2012,
166,1,842849,815253,04/19/2012,
167,1,842716,815421,04/19/2012,
169,1,841886,815765,04/19/2012,
170,1,841894,815555,04/19/2012,
171,1,841899,815422,04/19/2012,
172,1,841853,815204,04/19/2012,
173,1,840926,815874,04/19/2012,
174,1,840890,816049,04/19/2012,
175,1,841067,816147,04/19/2012,
176,1,841074,816036,04/19/2012,
178,1,838672,816950,04/19/2012,
179,1,838824,817153,05/13/2016,
180,1,840458,816272,04/19/2012,
181,1,840970,815943,04/19/2012,
182,1,841853,815253,04/19/2012,
183,1,841886,815478,04/19/2012,
185,1,841886,815796,04/19/2012,
187,1,842109,815991,03/05/2014,
188,1,842901,815158,04/19/2012,
190,1,842760,814619,04/19/2012,
193,1,835646,819170,04/19/2012,
194,1,835605,819401,04/19/2012,
197,1,835121,820596,04/19/2012,
199,1,834678,821204,04/19/2012,
203,1,834519,821342,04/19/2012,
204,1,834324,821654,04/19/2012,
205,1,834301,821806,04/19/2012,
206,1,834566,821817,04/19/2012,
207,1,834665,821434,04/19/2012,
208,1,834829,821264,04/19/2012,
209,1,835033,821091,04/19/2012,
210,1,835182,820969,04/19/2012,
211,1,835369,820746,04/19/2012,
212,1,835419,820487,04/19/2012,
214,1,835626,819406,04/19/2012,
216,1,835700,818992,04/19/2012,
219,1,836652,818079,04/19/2012,
220,1,837138,816089,10/17/2017,
221,1,837734,816322,04/19/2012,
222,1,837996,816726,04/19/2012,
223,1,838129,816883,04/19/2012,
228,1,838246,816809,04/19/2012,
230,1,836492,815437,04/19/2012,
231,1,836189,815327,04/19/2012,
232,1,835728,815508,04/19/2012,
233,1,835151,815546,04/19/2012,
234,1,836072,815395,04/19/2012,
235,1,836292,815366,04/19/2012,
236,1,836501,815449,04/19/2012,
237,1,836801,815358,04/19/2012,
238,1,837047,815413,04/19/2012,
240,1,834528,816347,04/19/2012,
241,1,834511,816209,04/19/2012,
244,1,834570,815420,04/19/2012,
245,1,834272,815291,04/19/2012,
246,1,833932,815614,04/19/2012,
247,1,833693,815831,04/19/2012,
248,1,833436,816000,04/19/2012,
249,1,833286,816027,04/19/2012,
250,1,833382,815997,10/02/2013,
252,1,833572,815779,04/19/2012,
253,1,833835,815532,04/19/2012,
254,1,834007,815242,04/19/2012,
255,1,834292,815406,04/19/2012,
256,1,834499,815490,04/19/2012,
257,1,834437,815669,04/19/2012,
258,1,834268,815892,04/19/2012,
259,1,834501,816238,04/19/2012,
261,1,834125,815841,04/19/2012,
262,1,833930,815954,04/19/2012,
263,1,833939,815896,04/19/2012,
264,1,833971,815683,03/05/2014,
265,1,832968,816215,04/19/2012,
266,1,832905,816142,04/19/2012,
267,1,832829,816113,04/19/2012,
268,1,832983,816170,04/19/2012,
269,1,833170,815966,04/19/2012,
270,1,833244,815926,04/19/2012,
271,1,833558,815744,04/19/2012,
274,1,836007,816139,04/19/2012,
276,1,836751,815638,04/19/2012,
277,1,837142,815686,04/19/2012,
279,1,837660,815504,04/19/2012,
280,1,837992,815357,04/19/2012,
282,1,838031,815887,03/05/2014,
283,1,838143,816113,04/19/2012,
284,1,838095,816208,04/19/2012,
285,1,838228,816499,04/19/2012,
286,1,838437,816583,04/19/2012,
287,1,838660,816583,04/19/2012,
288,1,838908,816647,04/19/2012,
289,1,838612,816266,04/19/2012,
291,1,838599,816248,04/19/2012,
292,1,838548,816462,04/19/2012,
293,1,838382,816481,04/19/2012,
294,1,838321,816399,04/19/2012,
295,1,838262,816243,04/19/2012,
296,1,838179,816503,04/19/2012,
297,1,837735,816061,04/19/2012,
300,1,837994,815807,04/19/2012,
301,1,837997,815555,04/19/2012,
304,1,837697,815460,04/19/2012,
306,1,832397,813204,04/19/2012,
307,1,832242,813359,04/19/2012,
308,1,832244,813020,04/19/2012,
309,1,832551,812615,04/19/2012,
310,1,833337,812297,04/19/2012,
312,1,834349,812084,10/12/2012,
313,1,834784,812219,04/19/2012,
315,1,836149,812357,04/19/2012,
316,1,836617,815262,04/19/2012,
318,1,835455,815421,04/19/2012,
319,1,834749,815623,04/19/2012,
320,1,834090,816113,04/19/2012,
321,1,833903,816159,04/19/2012,
322,1,833627,816174,04/19/2012,
323,1,833405,816344,04/19/2012,
324,1,833015,816415,04/19/2012,
325,1,832755,816438,04/19/2012,
326,1,832628,816446,04/19/2012,
327,1,832463,816288,04/19/2012,
328,1,832016,816082,04/19/2012,
329,1,831785,816096,04/19/2012,
330,1,831678,815866,04/19/2012,
331,1,831554,815489,04/05/2013,
332,1,831467,814960,04/19/2012,
334,1,831503,814533,04/19/2012,
335,1,831695,814234,04/19/2012,
336,1,831822,813949,04/19/2012,
337,1,832020,813745,04/19/2012,
338,1,832109,813547,04/19/2012,
340,1,832308,812997,04/19/2012,
341,1,832074,813525,04/19/2012,
343,1,831776,813980,04/19/2012,
344,1,831639,814277,04/19/2012,
345,1,831507,814463,04/19/2012,
346,1,831426,815011,04/19/2012,
347,1,831534,815497,04/05/2013,
348,1,831673,815920,04/19/2012,
349,1,831743,816083,04/19/2012,
350,1,831873,816170,10/03/2012,
351,1,832308,816266,04/19/2012,
352,1,832424,816369,04/19/2012,
353,1,832509,816566,04/19/2012,
354,1,832646,816570,04/19/2012,
355,1,832883,816562,04/19/2012,
356,1,833118,816546,04/19/2012,
359,1,834248,816514,04/19/2012,
360,1,834549,816423,04/19/2012,
362,1,835776,815299,04/19/2012,
364,1,836256,815346,04/16/2018,
365,1,836651,815181,04/19/2012,
366,1,836121,812332,04/19/2012,
369,1,834849,812181,04/19/2012,
371,1,834067,812035,04/19/2012,
372,1,833753,812133,04/19/2012,
375,1,832217,813023,04/19/2012,
377,1,832451,816153,04/19/2012,
378,1,832597,816220,04/19/2012,
379,1,833959,816435,04/19/2012,
380,1,832693,816173,04/19/2012,
381,1,832324,816133,04/19/2012,
382,1,831820,816389,04/19/2012,
384,1,831882,816481,04/19/2012,
385,1,832179,816467,04/19/2012,
388,1,834528,815850,04/19/2012,
389,1,835664,815426,04/19/2012,
392,1,831505,816084,04/19/2012,
393,1,831204,815956,04/19/2012,
394,1,830926,815909,04/19/2012,
395,1,830685,815906,04/19/2012,
396,1,830929,815925,04/05/2013,
398,1,831455,816162,04/19/2012,
399,1,831546,816244,04/19/2012,
400,1,831642,816380,04/19/2012,
401,1,834862,815652,04/19/2012,
403,1,840363,808207,03/05/2014,
406,1,840122,809573,04/19/2012,
407,1,839541,809428,04/19/2012,
408,1,838976,809685,04/19/2012,
409,1,838621,810750,04/19/2012,
411,1,838154,811089,04/19/2012,
412,1,837896,810961,04/19/2012,
413,1,837563,810986,04/19/2012,
416,1,836372,811920,04/19/2012,
417,1,836192,812151,04/19/2012,
418,1,836447,815102,04/19/2012,
419,1,836206,815108,04/19/2012,
420,1,835829,815076,04/19/2012,
422,1,835381,815372,04/05/2013,
425,1,835343,815417,04/19/2012,
426,1,835579,815250,04/19/2012,
427,1,835733,815147,04/19/2012,
429,1,836267,815147,04/19/2012,
430,1,836212,812208,04/19/2012,
431,1,836459,811893,04/19/2012,
434,1,837584,810983,04/19/2012,
435,1,837930,811074,04/19/2012,
436,1,838169,811099,04/19/2012,
437,1,838522,811080,04/19/2012,
440,1,838960,809774,03/05/2014,
441,1,839614,809608,04/19/2012,
443,1,839889,809533,04/19/2012,
444,1,840120,809585,04/19/2012,
446,1,839863,809163,02/21/2014,
448,1,840364,808229,04/19/2012,
449,1,833595,811729,04/19/2012,
450,1,834030,811615,04/19/2012,
451,1,834181,811654,04/19/2012,
452,1,834169,811633,04/19/2012,
453,1,834014,811584,04/19/2012,
454,1,833471,811704,04/19/2012,
457,1,833413,811575,04/19/2012,
458,1,833265,811586,04/19/2012,
462,1,834442,812085,04/19/2012,
467,1,834927,815647,04/19/2012,
468,1,835073,815529,04/19/2012,
469,1,836724,815502,04/19/2012,
471,1,833052,816228,04/19/2012,
472,1,833235,816085,04/19/2012,
473,1,833382,816029,04/19/2012,
474,1,833589,815947,04/19/2012,
475,1,833886,812340,04/19/2012,
476,1,834094,812205,04/19/2012,
481,1,837641,815555,04/19/2012,
482,1,834318,811455,04/19/2012,
483,1,834154,811330,04/19/2012,
484,1,833993,811413,04/19/2012,
486,1,836576,815179,04/19/2012,
487,1,835967,812090,04/19/2012,
489,1,832134,812792,10/04/2017,
490,1,832054,812666,04/19/2012,
491,1,832110,812489,04/19/2012,
493,1,835581,812384,04/19/2012,
495,1,832311,812547,04/19/2012,
496,1,832193,812461,04/19/2012,
497,1,832055,812580,04/19/2012,
498,1,832026,812737,04/19/2012,
499,1,832078,812557,04/19/2012,
501,1,832243,813366,04/19/2012,
502,1,832460,813137,04/19/2012,
503,1,832460,812947,04/19/2012,
505,1,834050,812084,04/19/2012,
506,1,834156,816205,04/19/2012,
507,1,833231,816405,04/19/2012,
508,1,832936,816453,04/19/2012,
510,1,834310,816288,04/19/2012,
511,1,833216,812202,04/19/2012,
512,1,832930,812203,04/19/2012,
513,1,832486,812319,04/19/2012,
514,1,832915,812211,04/19/2012,
517,1,815901,827545,04/19/2012,
518,1,834939,815587,04/19/2012,
520,1,836536,814448,04/19/2012,
521,1,836815,814368,04/19/2012,
523,1,837822,813460,04/19/2012,
526,1,836702,812827,04/19/2012,
527,1,836036,812433,04/19/2012,
528,1,835902,812349,04/19/2012,
529,1,835314,812258,04/19/2012,
530,1,834106,812322,03/05/2014,
531,1,834179,812525,04/19/2012,
532,1,834311,812575,04/19/2012,
535,1,834192,812191,04/19/2012,
536,1,834234,812365,04/19/2012,
538,1,836016,812437,04/19/2012,
539,1,836654,812846,04/19/2012,
540,1,837104,812823,04/19/2012,
541,1,837881,813191,04/19/2012,
545,1,836791,814234,04/19/2012,
546,1,836790,814378,04/19/2012,
547,1,836586,814420,04/19/2012,
548,1,836427,814600,04/19/2012,
550,1,841571,815508,04/19/2012,
551,1,841354,815371,04/19/2012,
552,1,841388,815248,04/19/2012,
553,1,841074,815381,04/19/2012,
554,1,840737,815567,04/19/2012,
555,1,840494,815689,04/19/2012,
556,1,840672,815772,04/19/2012,
557,1,840763,815866,04/19/2012,
558,1,833430,812343,04/19/2012,
559,1,833461,812433,04/19/2012,
560,1,833253,812403,04/19/2012,
562,1,840797,815767,04/19/2012,
563,1,840684,815714,04/19/2012,
564,1,840546,815612,04/19/2012,
565,1,840841,815610,04/19/2012,
567,1,841302,815199,04/19/2012,
